Symbol: ZWK22,,,Study: OPINT
Date Time,Close,Change,Open Interest
24/03/2022 22:53,1091.5,-0.75,
24/03/2022 22:56,1093.5,2,
24/03/2022 22:58,1093.5,0,
24/03/2022 23:02,1092.5,-1,
24/03/2022 23:05,1093,0.5,
24/03/2022 23:08,1092.25,-0.75,
24/03/2022 23:09,1091,-1.25,
24/03/2022 23:10,1088.25,-2.75,
24/03/2022 23:11,1088,-0.25,
24/03/2022 23:12,1089.5,1.5,
24/03/2022 23:15,1089.75,0.25,
24/03/2022 23:16,1089.75,0,
24/03/2022 23:17,1089,-0.75,
24/03/2022 23:18,1089.25,0.25,
24/03/2022 23:21,1089.25,0,
24/03/2022 23:22,1089.25,0,
24/03/2022 23:23,1088.75,-0.5,
24/03/2022 23:24,1089.25,0.5,
24/03/2022 23:26,1091.5,2.25,
24/03/2022 23:27,1090.25,-1.25,
24/03/2022 23:28,1090,-0.25,
24/03/2022 23:30,1089.75,-0.25,
24/03/2022 23:31,1091,1.25,
24/03/2022 23:33,1091.25,0.25,
24/03/2022 23:35,1091,-0.25,
24/03/2022 23:36,1090,-1,
24/03/2022 23:39,1089.5,-0.5,
24/03/2022 23:43,1089.5,0,
24/03/2022 23:46,1089.5,0,
24/03/2022 23:47,1089.5,0,
24/03/2022 23:53,1090.5,1,
24/03/2022 23:54,1091.25,0.75,
24/03/2022 23:57,1090.25,-1,
24/03/2022 23:58,1091.75,1.5,
24/03/2022 23:59,1092,0.25,
25/03/2022 0:02,1091,-1,
25/03/2022 0:03,1091.25,0.25,
25/03/2022 0:06,1090.75,-0.5,
25/03/2022 0:07,1091.25,0.5,
25/03/2022 0:08,1090.75,-0.5,
25/03/2022 0:11,1090.5,-0.25,
25/03/2022 0:13,1090.25,-0.25,
25/03/2022 0:16,1089.25,-1,
25/03/2022 0:19,1089,-0.25,
25/03/2022 0:20,1089.25,0.25,
25/03/2022 0:21,1089,-0.25,
25/03/2022 0:22,1089.75,0.75,
25/03/2022 0:23,1089.25,-0.5,
25/03/2022 0:25,1090,0.75,
25/03/2022 0:26,1089,-1,
25/03/2022 0:30,1090.25,1.25,
25/03/2022 0:32,1090.25,0,
25/03/2022 0:33,1090.75,0.5,
25/03/2022 0:34,1091,0.25,
25/03/2022 0:35,1090.5,-0.5,
25/03/2022 0:37,1090.5,0,
25/03/2022 0:38,1090.25,-0.25,
25/03/2022 0:40,1088.75,-1.5,
25/03/2022 0:42,1090,1.25,
25/03/2022 0:44,1091,1,
25/03/2022 0:45,1090,-1,
25/03/2022 0:46,1091,1,
25/03/2022 0:47,1090.75,-0.25,
25/03/2022 0:48,1090.75,0,
25/03/2022 0:50,1090.75,0,
25/03/2022 0:51,1092.5,1.75,
25/03/2022 0:52,1091.25,-1.25,
25/03/2022 0:55,1091.75,0.5,
25/03/2022 0:57,1091.75,0,
25/03/2022 1:00,1094.25,2.5,
25/03/2022 1:01,1091.5,-2.75,
25/03/2022 1:02,1091.25,-0.25,
25/03/2022 1:05,1090.5,-0.75,
25/03/2022 1:06,1090.5,0,
25/03/2022 1:07,1091,0.5,
25/03/2022 1:10,1091,0,
25/03/2022 1:13,1090.5,-0.5,
25/03/2022 1:15,1091.5,1,
25/03/2022 1:17,1090.5,-1,
25/03/2022 1:18,1090.25,-0.25,
25/03/2022 1:20,1089.5,-0.75,
25/03/2022 1:23,1088.75,-0.75,
25/03/2022 1:27,1089,0.25,
25/03/2022 1:30,1088.25,-0.75,
25/03/2022 1:31,1087,-1.25,
25/03/2022 1:32,1086.75,-0.25,
25/03/2022 1:33,1087.75,1,
25/03/2022 1:34,1087.75,0,
25/03/2022 1:35,1088,0.25,
25/03/2022 1:36,1087.75,-0.25,
25/03/2022 1:37,1087.5,-0.25,
25/03/2022 1:39,1087.5,0,
25/03/2022 1:42,1089.5,2,
25/03/2022 1:43,1089.5,0,
25/03/2022 1:44,1089.25,-0.25,
25/03/2022 1:45,1088.5,-0.75,
25/03/2022 1:48,1091,2.5,
25/03/2022 1:49,1090.75,-0.25,
25/03/2022 1:51,1090.75,0,
25/03/2022 1:53,1089.75,-1,
25/03/2022 1:54,1089,-0.75,
25/03/2022 1:55,1090.5,1.5,
25/03/2022 1:59,1090,-0.5,
25/03/2022 2:03,1088.75,-1.25,
25/03/2022 2:05,1088.75,0,
25/03/2022 2:06,1088.25,-0.5,
25/03/2022 2:07,1088,-0.25,
25/03/2022 2:08,1087.5,-0.5,
25/03/2022 2:09,1087,-0.5,
25/03/2022 2:10,1086,-1,
25/03/2022 2:11,1087,1,
25/03/2022 2:12,1087.75,0.75,
25/03/2022 2:13,1087,-0.75,
25/03/2022 2:15,1085.25,-1.75,
25/03/2022 2:16,1085,-0.25,
25/03/2022 2:17,1084.5,-0.5,
25/03/2022 2:20,1085.25,0.75,
25/03/2022 2:21,1085.5,0.25,
